duration,severity,affected,magnitude,dead
112,2,381576.65,7.9,60
4,1,74144.66,5.5,0
14,1,16069.91,5.4,5
10,1,830.232,3.9,11
13,2,314284.91,6.9,45
7,1,22524.63,5.2,0
43,1.5,126149.79,6.9,0
19,1.5,38676.71,6,23
8,1,7627.3,4.8,2
36,1,65791.14,6.4,0
8,1.5,106697.53,6.1,1
4,2,51279.6,5.6,8
12,1.5,181848.02,6.5,100
2,1.5,361386.84,6,15
6,1.5,48985.15,5.6,41
2,2,15699.75,4.8,18
11,2,38936.39,5.9,4
12,2,32476.99,5.9,2000
17,1,111000.43,6.3,0
30,1.5,102661.14,6.7,7
4,1.5,253520.53,6.2,0
8,1.5,31023.66,5.6,0
7,1.5,41577.16,5.6,6
7,1,172574.26,6.1,0
3,2,54531.07,5.5,13
15,1.5,312091,6.8,42
3,2,246385.23,6.2,27
18,1.5,52283.25,6.1,122
9,2,100404.04,6.3,10
7,1.5,178191.77,6.3,0
6,2,7171.77,4.9,8
7,1.5,98182.91,6,40
4,1.5,93531.74,5.7,80
9,2,50412.4,6,8
69,2,1430155.56,8.3,100
15,1.5,462763.09,7,70
14,1.5,125250.85,6.4,1
3,1.5,123143.44,5.7,2
7,2,102479.27,6.2,0
7,1.5,549425.38,6.8,135
21,1.5,1004638.92,7.5,11
3,1,9047.26,4.4,0
12,1.5,131222.52,6.4,0
6,1,21695.38,5.1,2
5,1.5,112220.53,5.9,0
3,1.5,101850.92,5.7,1
11,1.5,419827.15,6.8,200
5,1,32196.91,5.2,0
23,2,38019.26,6.2,80
8,2,307926.47,6.7,3
8,1,152700.5,6.1,0
4,1.5,42497.49,5.4,0
16,1.5,131743.41,6.5,5748
10,1.5,170079.48,6.4,5
22,2,241203.7,7,8
7,1.5,28071.86,5.5,0
10,1,123500.44,6.1,0
4,2,33907.85,5.4,3
3,1,125894.94,5.6,0
4,1,17254.01,4.8,7
17,1.5,84761.74,6.3,55
3,1.5,72847.78,5.5,19
16,2,243476.26,6.9,7
11,1,17152.64,5.3,0
11,1,630162.34,6.8,0
7,1,14653.47,5,13
3,1,43180.94,5.1,0
8,1.5,493136.77,6.8,5
22,1,814307.06,7.3,0
25,1,27293.22,5.8,0
29,1,3304.87,5,0
7,2,18135.4,5.4,59
4,1.5,1679.67,4,11
10,1.5,215662.54,6.5,0
33,1.5,73170.41,6.6,63
4,1.5,53241.03,5.5,2
8,1.5,740437.68,6.9,0
4,1,2985.69,4.1,0
9,1,5910.43,4.7,1
5,1,12282.15,4.8,0
17,1,100905.17,6.2,0
8,1,3700.4,4.5,1
8,1,9339.75,4.9,0
8,1,240506.1,6.3,2
23,1,30584.22,5.8,0
13,1.5,4201.51,4.9,0
13,1,2432.33,4.5,4
3,1,28873.67,4.9,17
3,1,21653.62,4.8,0
74,1,245461.58,7.3,0
5,2,577782.56,6.8,31
18,1.5,198590.48,6.7,0
6,1.5,451.786,3.6,0
11,1.5,1021219.24,7.2,6
47,1.5,83155.21,6.8,135
5,1,71113.05,5.6,20
69,1,20095.7,6.1,3
10,2,1746.34,4.5,32
3,1.5,29142.93,5.1,2
10,1.5,26063.39,5.6,52
7,1.5,318648.95,6.5,0
7,1,51781.98,5.6,0
8,1,6143.56,4.7,0
8,1,29317.81,5.4,0
8,1,67600.2,5.7,8
5,1.5,5668.01,4.6,4
3,1,21010.51,4.8,3
3,1.5,49084.64,5.3,9
29,1,106806.88,6.5,4
4,1,31978.97,5.1,0
15,1.5,377212.55,6.9,6
3,1,15306.67,4.7,1
1,2,68024.32,5.1,74
8,1.5,66842.9,5.9,4
6,1,12226.85,4.9,0
5,1,55785.44,5.4,0
5,2,126082.83,6.1,40
6,2,158124.44,6.3,30
6,1.5,14489.12,5.1,12
5,1.5,1592.26,4.1,0
6,2,293995.06,6.5,65
7,1.5,10482.16,5,7
31,1,86061.68,6.4,0
31,1,121035.65,6.6,91
4,1.5,11490.12,4.8,7
12,1.5,13753.99,5.4,6
27,1,138743.9,6.6,15
4,1,8507,4.5,0
7,1,8846.21,4.8,0
45,2,12538.4,6.1,148
27,2,42597.57,6.4,21
10,1.5,56959.95,5.9,7
15,1,44011.3,5.8,0
50,1.5,23036.11,6.2,400
3,2,37710.76,5.4,45
6,1,4747.33,4.5,0
24,1,18459.66,5.6,0
19,1,57981.45,6,0
22,1.5,24179.42,5.9,59
6,1,16825.58,5,6
11,1.5,83938.23,6.1,1
33,1.5,96830.55,6.7,127
5,1.5,45130.63,5.5,6
7,1.5,98264.36,6,26
5,1.5,4904.1,4.6,19
6,1.5,48922.93,5.6,10
6,1.5,79242.7,5.9,4
46,1,219814.61,7,0
9,1.5,10669.97,5.2,3
29,1.5,456058.52,7.3,32
33,1.5,75976.73,6.6,52
5,1,29689.98,5.2,1
7,1,107983.97,5.9,13
5,1.5,16652.25,5.1,0
4,2,9559.89,4.9,2
3,1,4260.88,4.1,0
3,1.5,89290.09,5.6,5
4,1,35689.54,5.2,0
3,1.5,31390.53,5.2,30
6,1.5,100600.98,6,0
3,1,20820.98,4.8,1
10,1.5,59723.23,6,3
18,2,33081.58,6.1,169
4,1.5,45292.27,5.4,50
3,1.5,9576.58,4.6,8
4,1,8218.79,4.5,0
5,1,19591.01,5,0
5,2,29832.3,5.5,77
17,1.5,92141.11,6.4,58
4,1.5,24530.67,5.2,0
13,2,7922.95,5.3,28
2,1.5,9902.76,4.5,0
20,1,2638.64,4.7,9
7,1.5,6084.92,4.8,10
11,2,18552.42,5.6,171
11,1.5,2643786.56,7.6,50
4,1.5,71504.75,5.6,0
7,1.5,213387.37,6.4,1
9,1.5,9560.29,5.1,106
11,2,67994.98,6.2,3
4,1.5,20116.97,5.1,1
4,1.5,18940.52,5.1,4
5,1,23515.69,5.1,1
41,1.5,29190.16,6.3,109
7,1,673741.48,6.7,0
8,1,6519.13,4.7,0
10,1.5,22717.12,5.5,0
10,1,43315.84,5.6,0
5,1,14162.67,4.9,20
5,1,15849.06,4.9,5
4,1,45092.49,5.3,0
9,1.5,1056107.69,7.2,53
7,2,127883.42,6.3,0
7,1.5,21754.66,5.4,26
3,2,4395.45,4.4,17
7,1.5,74036.01,5.9,17
27,1.5,12660.17,5.7,56
5,1.5,233126.25,6.2,19
22,1.5,120344.81,6.6,2
10,1,43617.54,5.6,2
18,1,117773.22,6.3,0
19,1,681012.64,7.1,0
19,1.5,35151.93,6,9
5,1,5045.75,4.4,4
6,1.5,5440.53,4.7,0
21,2,5579.97,5.4,6
15,1.5,88870.6,6.3,0
26,1.5,39793.06,6.2,10
5,1.5,566733.66,6.6,65
7,1,6851.66,4.7,10
4,1,4597.04,4.3,5
4,1,594.251,3.4,0
4,1.5,2046.16,4.1,0
3,1.5,41623.96,5.3,3
36,2,172063.87,7.1,3
8,1,194382.95,6.2,0
8,1,50438.09,5.6,5
8,1,39825.28,5.5,0
3,1,12053.82,4.6,0
3,1.5,869.906,3.6,0
4,1,9251,4.6,1
6,1.5,47136.84,5.6,5
3,1.5,7754.36,4.5,6
46,2,761154.11,7.8,2
16,1.5,4927.68,5.1,8
29,1.5,269445.71,7.1,37
26,1,45582.67,6.1,0
9,1,416574.71,6.6,8
9,1,11666.14,5,0
18,1,2457.47,4.6,10
6,1,2560.88,4.2,0
3,2,5900.64,4.5,13
6,1,20021.76,5.1,0
7,2,23573.86,5.5,957
5,2,3888.1,4.6,0
6,1,1254.06,3.9,0
24,1.5,9789.33,5.5,24
6,1.5,15384.57,5.1,6
26,1,45037.95,6.1,1
4,1,11294.19,4.7,0
6,1.5,3076.39,4.4,0
44,2,57194.3,6.7,486
42,1.5,22324.63,6.1,0
7,1.5,41010.11,5.6,4
7,2,4696.07,4.8,7
4,1,9829.52,4.6,14
23,2,311970.53,7.2,120
3,1,32113.08,5,3
2,1,288785.08,5.8,10
10,1.5,24302.22,5.6,0
5,2,18520.07,5.3,1
28,1.5,27751.69,6.1,40
12,1,21720.21,5.4,0
20,1.5,33056.09,6,0
20,1.5,37846.35,6.1,31
30,1.5,74520.09,6.5,7
18,2,252912.89,7,20
14,1.5,20013.55,5.6,20
5,2,47599.43,5.7,71
39,1.5,1215861.78,7.9,22
82,1.5,32667.16,6.6,434
25,1.5,50117.38,6.3,7
25,1.5,20554.78,5.9,8
49,2,40941.51,6.6,158
98,2,13466.62,6.4,264
35,2,28684.15,6.3,47
5,1,27920.61,5.1,6
158,2,96785.77,7.5,790
4,1.5,26044.85,5.2,2
7,1.5,28022.38,5.5,3
14,2,17840.77,5.7,53
7,1.5,129795.35,6.1,10
18,1.5,85509.51,6.4,19
8,1,55103.28,5.6,6
9,1.5,19191.59,5.4,6
12,1.5,1341347.09,7.4,6
8,1,15700.01,5.1,3
8,1,200669.11,6.2,10
8,1.5,103000.35,6.1,13
21,1.5,46388.45,6.2,15
6,1.5,185791.33,6.2,11
5,1.5,43197.43,5.5,4
22,1,27203.38,5.8,0
22,1,42377.33,6,0
7,1.5,36797.7,5.6,6
17,2,16000.97,5.7,0
